유형,논문 ID,저자명,주저자 소속기관,논문명,논문영어명,학술지명,저자키워드,참고문헌 수,인용된 총 횟수,발행기관명,발행연도,발행일,권,호,특별호,시작 페이지,끝 페이지,논문번호,DOI,주제분야,URL,KCI 등재 구분,반출일,논문명_원본,기관_부모,발행월,발행호,발행순서,주저자_소속_게재시점,기관_부모_보정,소속_판정
J,ART002870171,이길산,경남대학교 교양교육연구소,『유식이십론』과 유식성 개념의 변화_『섭대승론』과『유식이십론』을 중심으로,Viṁśikā and a Conceptual Change in Vijñaptimātratā: Based on the textual study on *Mahāyānasaṁgraha and Viṁśikā,인도철학,"『유식이십론』, 『섭대승론』, 유가행 유식학파, 바수반두, 유식성, 물질성 비판",34.0,4.0,인도철학회,2022,Aug. 31.,,65.0,,81.0,110.0,,10.32761/kjip.2022..65.003,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002870171,등재,2026-04-13,『유식이십론』과 유식성 개념의 변화_『섭대승론』과『유식이십론』을 중심으로_,경남대학교,8,제65집,64,경남대학교,경남대학교,일치
J,ART003293744,최지연,동국대학교 불교학부,자이나교 칠구분별에서 ‘말할 수 없다’의 함의 - 불교의 사구분별과의 비교를 통해 -,'Avaktavya' in Jaina Sevenfold Predication:  A Comparison with the Buddhist Catuṣkoṭi,인도철학,"칠구분별, 사구분별, 말할 수 없다, 불교의 무기, 자이나",29.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,225.0,254.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293744,등재,2026-04-13,자이나교 칠구분별에서 ‘말할 수 없다’의 함의 - 불교의 사구분별과의 비교를 통해 -,동국대학교,12,제75집,74,동국대학교,동국대학교,일치
J,ART002951211,이지수,동국대학교,인도철학에 있어서 착각의 문제_正理學派를 중심으로,인도철학에 있어서 착각의 문제_正理學派를 중심으로_󰠏󰠏l,인도철학,.,0.0,0.0,인도철학회,1996,Dec. 20.,,6.0,,65.0,108.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002951211,미등재,2026-04-13,인도철학에 있어서 착각의 문제_正理學派를 중심으로_󰠏󰠏,동국대학교,12,제6집,6,동국대학교,동국대학교,일치
J,ART002182072,이태승,위덕대학교,일본 최초의 인도철학사 강의록에 대한 일고찰,"A Survey on the Note of History of Indian Philosophy Lectured by Inoue, Tetsujiro for the First Time in Japan",인도철학,"이노우에 데츠지로, 인도철학, 인도철학사, 도쿄대학, 교육과 종교의 충돌, 다카쿠스 준지로, 기무라 다이켄",13.0,2.0,인도철학회,2016,Dec. 31.,,48.0,,103.0,135.0,,10.32761/kjip.2016..48.004,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002182072,등재,2026-04-13,일본 최초의 인도철학사 강의록에 대한 일고찰,위덕대학교,12,제48집,47,위덕대학교,위덕대학교,일치
J,ART002951614,이지수,동국대학교,한국 인도철학계의 몇 가지 왜곡된 인식들,한국 인도철학계의 몇 가지 왜곡된 인식들 l,인도철학,,0.0,0.0,인도철학회,2001,Dec. 1.,11.0,1.0,,9.0,44.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002951614,미등재,2026-04-13,한국 인도철학계의 몇 가지 왜곡된 인식들,동국대학교,12,제11권 1호,11,동국대학교,동국대학교,일치
J,ART001946053,이태승,위덕대학교,일본 근대 인도철학의 성립과 하라 탄잔(原坦山)의 역할,The Formation of the Study of Indian Philosophy in Modern Japan and the Role of Tanzan Hara,인도철학,"인도철학, 불교학, 불교철학, 하라 탄잔, 탄잔, 메이지유신, 도쿄대학",16.0,5.0,인도철학회,2014,Dec.,,42.0,,105.0,133.0,,10.32761/kjip.2014..42.004,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001946053,등재,2026-04-13,일본 근대 인도철학의 성립과 하라 탄잔(原坦山)의 역할,위덕대학교,12,제42집,41,위덕대학교,위덕대학교,일치
J,ART003293163,김태우,함부르크 대학교 인도·티벳학과,바라와의 여래장 해석 연구 - 공성의 관점에서 해석된 여래장 고찰 -,A Study of ’Ba’-ra-ba’s Interpretation of Buddha-Nature: An Examination of Buddha-Nature from the perspective of Emptiness,인도철학,"환영론자, 바라와 걜챈뺄상, 쫑카파, 여래장, 공성, 정립적 부정, 긍정적 확정",29.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,65.0,94.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293163,등재,2026-04-13,바라와의 여래장 해석 연구 - 공성의 관점에서 해석된 여래장 고찰 -,함부르크 대학교,12,제75집,74,함부르크 대학교,함부르크 대학교,일치
J,ART003293168,박수영,동국대학교,『사르바다르샤나상그라하』(Sarvadarśanasaṅgraha) 제13장 ｢빠니니다르샤나｣(Pāṇinidarśana)의 연구 (III) -마다바(Mādhava)가 논의한 다르샤나로서의 문법학-,A Study of the Pāṇinidarśana Chapter  of the Sarvadarśanasaṅgraha (III): Vyākaraṇa (grammar) as a Darśana discussed by Mādhava,인도철학,"마다바, 사르바다르샤나상그라하, 존재(sattā), 보편(jāti, 개별(dravya), 브라흐만, 해탈의 문",29.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,95.0,131.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293168,등재,2026-04-13,『사르바다르샤나상그라하』(Sarvadarśanasaṅgraha) 제13장 ｢빠니니다르샤나｣(Pāṇinidarśana)의 연구 (III) -마다바(Mādhava)가 논의한 다르샤나로서의 문법학-,동국대학교,12,제75집,74,동국대학교,동국대학교,일치
J,ART003293157,김수연,동국대학교,‘단순 비인식(adarśanamātra)’ 이론에 대한 다르마끼르띠의 비판 - 걜찹제의 『양평석의 해탈의 길을 밝힘』의 6가지 분류를 중심으로 -,Dharmakīrti’s Critique of the Theory of Mere Non-Perception (adarśanamātra): Focusing on rGyal tshab rje’s Six-fold Systematization in rNm ’grel thar lam gsal byed,인도철학,"다르마끼르띠, 디그나가, 단순 비인식, 본질적 관계, 걜찹제",30.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,1.0,30.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293157,등재,2026-04-13,‘단순 비인식(adarśanamātra)’ 이론에 대한 다르마끼르띠의 비판 - 걜찹제의 『양평석의 해탈의 길을 밝힘』의 6가지 분류를 중심으로 -,동국대학교,12,제75집,74,동국대학교,동국대학교,일치
J,ART003293738,이태승,위덕대학교,훈민정음 창제에 끼친 범어음성체계의 영향 연구 - 조선시대 『진언집』의 범자체계와 비교하여 -,A Study on the Influence of the Sanskrit Phonological System on the Creation of Hunminjeongeum:  Compared with the Sanskrit System in the Joseon Dynasty's Jin-eon-jip,인도철학,"훈민정음, 범어, 진언집, 실답자기, 아설순치후, 아치설후순",27.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,169.0,197.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293738,등재,2026-04-13,훈민정음 창제에 끼친 범어음성체계의 영향 연구 - 조선시대 『진언집』의 범자체계와 비교하여 -,위덕대학교,12,제75집,74,위덕대학교,위덕대학교,일치
J,ART003293747,한상희,경북대학교,"두땅가(dhutaṅga, 頭陀行)의 본질에 대한 해석 –마하위하라파와 아바야기리파의 견해 비교–",The Interpretation of the Nature of Dhutaṅga  — A Comparative Study of the Views of Mahāvihāra and Abhayagiri —,인도철학,"두땅가, 두타행, 마하위하라, 아바야기리, 빠라맛타, 빤냣띠",23.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,255.0,283.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293747,등재,2026-04-13,"두땅가(dhutaṅga, 頭陀行)의 본질에 대한 해석  –마하위하라파와 아바야기리파의 견해 비교–",경북대학교,12,제75집,74,경북대학교,경북대학교,일치
J,ART003293749,함형석,전남대학교,즈냐나가르바의 저작 『이제분별론』의 논쟁사적 맥락 읽기 - 『이제분별론』의 첨가 게송 37-43을 중심으로 -,Reading the Madhyamaka-Yogācāra Conflicts in Jñānagarbha’s *Satyadvayavibhaṅga,인도철학,"즈냐나가르바, 이제분별론, 이제설, 중관학파, 유가행파",36.0,0.0,인도철학회,2025,Dec. 31.,,75.0,,285.0,316.0,,,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003293749,등재,2026-04-13,즈냐나가르바의 저작 『이제분별론』의  논쟁사적 맥락 읽기 - 『이제분별론』의 첨가 게송 37-43을 중심으로 -,전남대학교,12,제75집,74,전남대학교,전남대학교,일치
J,ART003241323,이선희,경북대학교,내적 갈등 해소를 위한 불교 수행의 실천적 모색 - 초기불교 호흡관(Ānāpānasati)을 중심으로 -,A Practical Exploration of Buddhist Meditation for Resolving Inner Conflict:  Focusing on the First Four Steps of Ānāpānasati in Early Buddhism,인도철학,"호흡관, 욕망과 불만족, 선정과 통찰, 예비수행",46.0,0.0,인도철학회,2025,Aug. 31.,,74.0,,33.0,59.0,,10.32761/kjip.2025..74.002,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003241323,등재,2026-04-13,내적 갈등 해소를 위한 불교 수행의 실천적 모색 - 초기불교 호흡관(Ānāpānasati)을 중심으로 -,경북대학교,8,제74집,73,경북대학교,경북대학교,일치
J,ART003241324,박희언,서울대학교,"밀교의 티베트 전래, 현밀 갈등과 그 대응:『보리도등론』의 교의적 특징과 문제점 고찰","The Transmission of Tantric Buddhism to Tibet, the Exoteric-Esoteric Conflict, and Its Response: An Examination of the Doctrinal Characteristics and Issues in Bodhipathapradīpa",인도철학,"아티샤, 보리도등론, 밀교, 현밀 갈등, 관정",30.0,0.0,인도철학회,2025,Aug. 31.,,74.0,,61.0,90.0,,10.32761/kjip.2025..74.003,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003241324,등재,2026-04-13,"밀교의 티베트 전래, 현밀 갈등과 그 대응:『보리도등론』의 교의적 특징과 문제점 고찰",서울대학교,8,제74집,73,서울대학교,서울대학교,일치
J,ART003197476,우동필,전남대학교 호남불교문화연구소,찰나법연기의 자이나교 기원설,Jain Origin Theory of the Momentary Dharma Theory on Conditioned Co-arising,인도철학,"연기, 연기 공식, 십이연기, 찰나법연기, 업보",38.0,0.0,인도철학회,2025,Apr. 30.,,73.0,,33.0,68.0,,10.32761/kjip.2025..73.002,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003197476,등재,2026-04-13,찰나법연기의 자이나교 기원설,전남대학교,4,제73집,72,전남대학교,전남대학교,일치
