author,artiId,pub_year,journal,categories,title,n_authors,authors,affil
강대공,ART001830200,2013,인도철학,철학,번뇌(煩惱)와 길상(maṅgala)을 통해 본 108법수의 기원과 발전,1,강대공,동국대학교
강대공,ART001946306,2014,인도철학,철학,동남아시아의 빨리어(Pāli) 문자와 불교사본,1,강대공,출라롱콘대 태국학연구소
강대공,ART001881273,2014,인도연구,서남아시아,동북아시아의 대승불교경전에서 인도불교 나가(nāga)전설의 재구성,1,강대공,동국대학교
강대공,ART002619717,2020,한국태국학회논총,지역학,태국 불교 승려계급이 갖는 사회적 의미,1,강대공,동국대학교 전자불전문화콘텐츠연구소
강대공,ART002749057,2021,한국교수불자연합학회지,응용불교학,인도불교전통에 나타난 우유의 상징성과 제호(醍醐)의 의미,1,강대공,동국대학교 전자불전문화콘텐츠연구소
강대공,ART002710655,2021,한국교수불자연합학회지,응용불교학,산스끄릿어(Sanskrit) 또는 빨리어(Pāli) 표기상의 몇 가지 문제와 제안,2,김성숙;강대공,동국대학교 전자불전문화콘텐츠연구소
강대공,ART002922563,2022,동아시아불교문화,지역불교및불교사연구,동남아시아와의 비교를 통해 본 ‘범석사왕(梵釋四王)’- 발우의 전달자로서의 힌두신들 -,1,강대공,동국대학교 전자불전문화콘텐츠연구소
강대공,ART002824041,2022,불교학보,기타불교학,Social Engagements of Korean Buddhism in the COVID-19 Pandemic with Reference to Hoguk Bulgyo,2,문현공;강대공,동국대학교 전자불전문화콘텐츠연구소
강신보,ART002954675,2002,인도철학,철학,初期 佛教의 緣起說에 나타난 六處(saḷāyatana)의 役割,1,강신보,동국대학교
강신보,ART001157762,2004,한국불교학,종교학,『阿毘達磨大毘婆沙論』에 나타난 外道批判- 禪의 觀點을 통해서-,1,강신보,동국대학교
강신보,ART001022272,2006,禪學(선학),응용불교학,『華嚴經』에 나타난 禪定에서의 海印三昧의 意義.,1,강신보,동국대학교
강신보,ART001011986,2006,禪學(선학),응용불교학,雪岑의 詩<贈峻上人>에 나타난 ‘禪心’의 意味,1,강신보,동국대학교
강종원,ART002950995,2003,인도철학,철학,인식과 표현 _俱舍論의 서술방식에 관한 一考_,1,강종원,동국대학교
강형철,ART001408506,2009,禪文化硏究,기타불교학,眞諦의 상키야 용어번역에 관한 소고 - 漢譯 『金七十論』을 중심으로 -,1,강형철,동국대학교
강형철,ART001618804,2011,인도철학,철학,설화와 비유에 나타난 indriya와 manas : 초기 불전과 마하바라타의 상키야설을 중심으로,1,강형철,동국대학교
강형철,ART001801196,2013,인도철학,철학,니야야ㆍ상키야의 감관도달설에 관한 몇 가지 논의들,1,강형철,동국대학교
강형철,ART001873841,2014,인도철학,철학,아트만(ātman)과 푸루샤(puruṣa) 개념의 교차점,1,강형철,동국대학교
강형철,ART001987498,2015,인도철학,철학,바수반두의 찰나멸 논증을 둘러싼 몇 가지 해석상의 문제들 - Yuktidīpikā와의 관련성을 중심으로 -,1,강형철,금강대학교 불교문화연구소
강형철,ART002181581,2016,한국불교학,종교학,경량부-세친의 찰나설의 재고 ‒ 찰나의 연속과 단절에 대한 중관학파 제논사의 해석을 중심으로 ‒,1,강형철,동국대학교
강형철,ART002138525,2016,인도철학,철학,고전기 이전 상키야 철학에 대한 Yuktidīpikā 저자의 역사 인식,1,강형철,금강대학교 불교문화연구소
강형철,ART002178489,2016,불교학리뷰,불교학,상캬 전통의 계보와 교의서의 요건: <육띠디삐까>(Yuktidīpikā) 역주 (1),2,강형철;함형석,동국대학교
강형철,ART002246702,2017,종교교육학연구,종교학,가상현실(VR) 및 증강현실(AR)의 명상교육 활용가능성에 대한 고찰,1,강형철,동국대학교
강형철,ART002298514,2017,한국불교학,종교학,가상현실을 통한 불교이론의 재검토,1,강형철,동국대학교
강형철,ART002252818,2017,인도철학,철학,상속(santati)과 존속(avasthāna) __존재의 지속요건을 둘러싼 불교와 상키야의 논쟁_,1,강형철,금강대학교 불교문화연구소
강형철,ART002376773,2018,한국불교학,종교학,불교학 연구에 있어서 소위 문헌학적 연구의 문제점과 전망,1,강형철,동국대학교 인도철학불교학연구소
강형철,ART002376715,2018,인도철학,철학,고전요가에서의 기억__Yogasūtrabhāṣya 1.11의 해석을 중심으로__,1,강형철,동국대학교 인도철학불교학연구소
강형철,ART002628230,2020,불교학연구,불교학,다르마키르티(Dharmakīrti)의 소멸무원인론에 관한 해석상의 문제들,1,강형철,동국대학교
강형철,ART002622718,2020,남아시아연구,지역학,고전 요가에서 citta-vṛtti의 의미 재고 -고대 인도의 마음 개념과 관련하여-,1,강형철,동국대학교 인도철학불교학연구소
강형철,ART002705800,2021,동아시아불교문화,지역불교및불교사연구,『유식이십론』 2~4송의 재고,1,강형철,동국대학교
강형철,ART002819623,2022,동아시아불교문화,지역불교및불교사연구,가야의 인도불교설화 수용과 변용 사례 -「어산불영(魚山佛影)」을 중심으로 -,1,강형철,동국대학교 전자불전문화콘텐츠연구소
강형철,ART002819887,2022,남아시아연구,지역학,인도문화의 전파과정에서 거북 종류의 변용 사례,1,강형철,동국대학교 전자불전문화콘텐츠연구소
강형철,ART002937525,2023,불교연구,불교학,엘라파트라 용왕의 수수께끼: 초기 붓다전기의 에피소드 삽입 유형,1,강형철,동국대학교 WISE(와이즈)캠퍼스 불교사회문화연구원
강형철,ART002943484,2023,불교학보,기타불교학,불교와 한의학에서 설명하는 심신의 상호작용 - ‘심장’의 사례를 중심으로 -,1,강형철,동국대학교 WISE(와이즈)캠퍼스 불교사회문화연구원
강형철,ART003115888,2024,동아시아불교문화,지역불교및불교사연구,공간의 창조- 지옥의 생명체에 관한 바수반두의 해명 중심으로 -,1,강형철,경희대학교 종교시민문화연구소
강형철,ART003187901,2025,현상과 인식,학제간연구,종교에 있어서 채식주의와 종차별주의 : 불교와 자이나를 중심으로,1,강형철,경희대학교 종교시민문화연구소
강형철,ART003225230,2025,동아시아불교문화,지역불교및불교사연구,미륵 신앙의 한국적 변용 사례 - 화랑의 신앙결사를 중심으로 -,1,강형철,경희대학교 종교시민문화연구소
강형철,ART003264493,2025,동아시아불교문화,지역불교및불교사연구,퇴옹 성철의 오매일여와 우파니샤드의 네 단계 의식,1,강형철,경희대학교 종교시민문화연구소
강형철,ART003320764,2026,불교학보,기타불교학,인도 요가 전통의 나디와 동아시아 의학의 경맥 : 그 역사적 교차점,1,강형철,경희대학교 종교시민문화연구소
강형철,ART003337609,2026,인도연구,서남아시아,『하타프라디피카』(Haṭhapradīpikā)의 새 비평판에 대한 고찰:  마하반다와 삼푸타요가를 중심으로,1,강형철,경희대학교 종교시민문화연구소
강희숙,ART001273056,2008,인도철학,철학,민족주의와 달리트의 집단개종(1858-1947),1,강희숙,숭실대학교
고대석,ART002582656,2020,인도철학,철학,唯識의 識轉變과 요가의 훈습 원리__護法과 安慧의 주석 및 『요가주』를 중심으로__,2,고대석;정승석,동국대학교
곽만연,ART002953571,1989,인도철학,철학,자아나교의 윤리사상과 현대적 의의,1,곽만연,동아대학교
곽만연,ART001003351,2003,윤리교육연구,윤리교육학,신라사회에 꽃핀 불교의 윤리사상,1,곽만연,동아대학교
곽만연,ART000969866,2005,불교학보,기타불교학,잉여냉동배아의 이용에 대한 윤리적 평가와 불교적 입장,1,곽만연,동아대학교
곽만연,ART000984742,2005,불교학연구,불교학,윤리적？불교적 입장에서 살펴 본 잉여냉동배아의 이용,1,곽만연,동아대학교
곽만연,ART000976004,2005,윤리교육연구,윤리교육학,잉여냉동배아의 이용에 대한 윤리적 평가와 불교적 입장,1,곽만연,동아대학교
곽만연,ART001045088,2006,불교연구,불교학,최치원의 유불도 삼교관 연구,1,곽만연,동아대학교
곽만연,ART001054225,2007,철학논총,철학,불교의 죽음관의 전개와 티벳 사자의 서에 나타난 죽음관의 전개,1,곽만연,동아대
곽만연,ART001055816,2007,불교연구,불교학,정토신앙의 중생구제와 高麗時代의 淨土思想,1,곽만연,동아대학교
곽만연,ART001386523,2009,철학논총,철학,불교의 안락사관 연구,1,곽만연,동아대학교
곽만연,ART001736997,2012,한국교수불자연합학회지,응용불교학,하동산 대종사와 범어사와 범어가풍의 불교정신,1,곽만연,동아대학교
곽만연,ART001759468,2013,동아시아불교문화,지역불교및불교사연구,초기불교의 올바른 삶과 죽음관,1,곽만연,동아대학교
국광희,ART002421621,2018,인도철학,철학,관정의례(灌頂儀禮)의 변천에 관한 고찰,2,국광희;정성준,동국대학교 인도철학과 대학원
국광희,ART002440670,2019,불교연구,불교학,수륙재(水陸齋)의 상징적 소재에 대한 고찰,2,국광희;정승석,동국대학교 인도철학과 대학원
김경춘,ART000939684,2004,인도철학,철학,상키아(Saa'mkhya)의 아관,1,김경춘,동국대학교
김경춘,ART001078618,2007,禪學(선학),응용불교학,불교개혁운동과 신흥종단의 출현,1,김경춘,동국대학교
김미숙_자이나,ART002954670,2002,인도철학,철학,자이나 철학에서의 業과 靈魂의 관계,1,김미숙,위덕대학교 밀교문화연구원
김미숙_자이나,ART002950990,2003,인도철학,철학,영혼의 색채에 대한 자이나 이론,1,김미숙,동국대학교
김미숙_자이나,ART000926374,2004,인도연구,서남아시아,자이나의 식생활 원리와 그 철학적 배경,1,김미숙,동국대학교
김미숙_자이나,ART001172675,2005,인도철학,철학,자이나교의 요가 사다나,1,김미숙,동국대학교
