detail_id,student_ko,student_kr,person_id,student_kr_src,student_en,student_affil,degree,pub_year,degree_ym,dept_major,advisor,지도교수_수동입력여부,title_ko,title_en,keywords,ddc,institution,pages,language,copyright,handle_uri,include_reason
000000018725,朴性焙,박성배,박성배,한자음변환,,,석사,1959,Feb.59,대학원 인도철학과,미상,예,梵我一如思想 : 古upanisad 時代의 核心問題,A study on Brohm - Atma - aikyam,,294.2,東國大學校 大學院,,,,,dept=인도철학
000000019374,탁만식,탁만식,탁만식,원본,,,석사,1971,Feb.71,대학원 인도철학과,김동화,예,華嚴經에 나타난 普薩思想 硏究,A Study on the Thoughts of Bodhisattva in AVATASAKA-SUTRA,,212.3,동국대학교 대학원,,,,,dept=인도철학
000000018860,이태경,이태경,이태경,원본,,,석사,1972,Feb.72,대학원 인도철학과,원의범,예,中論觀去來品 硏究,A Study on Gatagatapariksa of Madhyamakasastra,,213.35,동국대학교 대학원,,,,,dept=인도철학
000000018854,郭滿淵,곽만연,곽만연,게재검증,,,석사,1974,Feb.74,대학원 인도철학과,원의범,예,佛敎의 社會改革思想硏究,A Study on the thought of Social reform of Buddhism,,211.09,東國大學校 大學院,,,,,dept=인도철학
000000017992,장충식,장충식,장충식,원본,,,석사,1974,Feb.74,대학원 인도철학과,황수영,예,長生標硏究 : 通度寺 十二長生을 中心으로,A Study on the Jang-seng,,218.61,동국대학교 대학원,,,,,dept=인도철학
000000017944,박세인,박세인,박세인,원본,,,석사,1975,Feb.75,대학원 인도철학과,원의범,예,蓮華의 象徵的 意味의 硏究 : 印度의 神話와 佛敎를 中心으로,A Study on the Symbolic Meaning of a Lotus Flower,,294,동국대학교 대학원,,,,,dept=인도철학
000000018025,신광수,신광수,신광수,원본,,,석사,1975,Feb.75,대학원 인도철학과,서경수,예,十一面 觀世音菩薩에 관한 硏究,STUDY OF ELEVEN FACES KWAN SYE UM,,212.31,동국대학교 대학원,,,,,dept=인도철학
000000018719,이범홍,이범홍,이범홍,원본,,,석사,1975,Feb.75,대학원 인도철학과,서경수,예,Maya에 關한 硏究 : Sankara를 中心으로,STUDY OF MAYA,,181.48,동국대학교 대학원,,,,,dept=인도철학
000000014911,金德洙,김덕수,김덕수,한자음변환,,,석사,1976,Feb.76,대학원 인도철학과,이기영,예,佛典上에 나타난 護國思想 硏究,THE PATRIOTIC SPIRIT OF BUDDHISM,,211,東國大學校 大學院,,,,,dept=인도철학
000000017938,김용환,김용환,김용환,원본,,,석사,1976,Feb.76,대학원 인도철학과,이기영,예,帝釋天(Indra)을 通한 佛敎神話의 一考察,,,294,동국대학교 대학원,,,,,dept=인도철학
000000018438,송병욱,송병욱,송병욱,원본,,,석사,1976,Feb.76,대학원 인도철학과,미상,예,"入楞伽經硏究 - 오법문품범, 막본대조",A STUDY OF THE LANKAVATARA SUTRA,,213.18,동국대학교 대학원,,,,,dept=인도철학
000000018772,이지수,이지수,이지수,원본,,,석사,1976,Feb.76,대학원 인도철학과,원의범,예,認識對象의 外界實在性 問題 : Alambana-Pariksa를 中心으로,The Problem of Reality of the External Object,,121,동국대학교 대학원,,,,,dept=인도철학
000000019281,전치수,전치수,전치수,원본,,,석사,1976,Feb.76,대학원 인도철학과,원의범,예,印度論理學의 形式에 關한 硏究 : 記號 論理에 依한 五支作法과 三支作法의 等價證明,,,160.954,동국대학교 대학원,,,,,dept=인도철학
000000019277,金良植,김양식,김양식,한자음변환,,,석사,1977,Feb.77,대학원 인도철학과,원의범,예,Rabindranath Tagore 詩에 나타난 印度哲學 思想 : Isa upanisad를 中心으로,The Theme The Idea of Rabindranath Tagore,,891,동국대학교 대학원,,,,,dept=인도철학
000000018256,김현준,김현준,김현준,원본,,,석사,1978,Feb.78,대학원 인도철학과,이기영,예,Bhagavad-Gita와 大乘起信論·疏의 比較硏究,,,181.4,동국대학교 대학원,,,,,dept=인도철학
000000018259,이효상,이효상,이효상,원본,,,석사,1978,Feb.78,대학원 인도철학과,미상,예,感官的直觀의 認識過程 硏究,,,181,東國大學校 大學院,,,,,dept=인도철학
000000018249,강희숙,강희숙,강희숙,원본,,,석사,1980,Jul.80,대학원 인도철학과,원의범,예,印度唯物論硏究 : lokayata와 Sankhga 中心으로,A study of Indian materialism espatiallg on Lokayata and Sankhya,,181.4,동국대학교 대학원,,,,,dept=인도철학
000000018450,다야라트네에디리싱헤,다야라트네에디리싱헤,다야라트네에디리싱헤,원본,,,석사,1980,Dec.80,대학원 인도철학과,원의범,예,上座佛敎와 大乘佛敎의 倫理觀에 關한 比較 硏究,The Ethics of Thevavada and Mahayana Buddhism : A Comparative Study,,214.1,동국대학교 대학원,,한국어,,,dept=인도철학
000000018994,정승석,정승석,정승석,원본,,,석사,1980,Dec.80,대학원 인도철학과,정태혁,예,Hinduism哲學의 社會倫理性 硏究 : 四姓制度(Caste)를 中心으로,A Study on Socio- ethical Inclination in Hindu Philophy With Special Refernce to Caste System,,181.4,동국대학교 대학원,,,,,dept=인도철학
000000019242,황용식,황용식,황용식,원본,,,석사,1980,Feb.80,대학원 인도철학과,서경수,예,原始佛敎의 無我說의 硏究,A Study of the Anatma-Yada in the Primitive Buddhism,,211.1,동국대학교 대학원,,,,,dept=인도철학
000000012407,김영,김영,김영,원본,,,석사,1981,Feb.81,대학원 인도철학과,정태혁,예,印度哲學思想에 나타난 時間觀,An Outlook on Time through the Indian Philosophy,,181.4,동국대학교 대학원,,,,,dept=인도철학
000000019274,徐幸正,서행정,서행정,게재검증,,,석사,1981,Feb.81,대학원 인도철학과,원의범,예,Valmiki Ramayana의 倫理觀 : Dharma를 中心으로,,,891,동국대학교 대학원,,,,,dept=인도철학
000000012377,全在星,전재성,전재성,게재검증,,,석사,1981,Feb.81,대학원 인도철학과,원의범,예,Veda와 Upanisad에서 불(火)의 形而上學,,,181.4,동국대학교 대학원,,,,,dept=인도철학
000000018413,정호영,정호영,정호영,원본,,,석사,1981,Feb.81,대학원 인도철학과,이기영,예,金剛般若經의 四想에 관한 硏究,,,213,동국대학교 대학원,,,,,dept=인도철학
000000012378,車英愛,차영애,차영애,한자음변환,,,석사,1981,Feb.81,대학원 인도철학과,정태혁,예,Samkhya-yaga 哲學의 轉變說과 요가修行 : 世界의 展開와 復歸를 中心으로,,,181.45,동국대학교 대학원,,,,,dept=인도철학
000000013224,홍순해,홍순해,홍순해,원본,,,석사,1983,Feb.83,대학원 인도철학과,원의범,예,印度哲學에서의 「正」에 關한 考察 : 佛敎의 八正道를 中心으로,A study on the Righteousness in Indian Buddhism - Especially on the Noble Eightfold Path,,181.4,동국대학교 대학원,,,,,dept=인도철학
