artiId,pub_year,pub_mon,통권,volume,categories,title_ko,title_en,authors
ART003334836,2026,04,76,,철학,중국과 인도의 우주본체론 비교 고찰 - 『태극도설』과 SāṃkhyaKārikā 의 전변설을 중심으로 -,A Comparative Study of Chinese and Indian Cosmological Ontology,권윤영(동국대학교)
ART003334842,2026,04,76,,철학,『마하바라타』 지옥 서사의 구조와 윤리적 기능,The Structure and Ethical Function of the Hell Narrative in the Mahābhārata,김진영(동국대학교 WISE(와이즈)캠퍼스 갈등치유연구소)
ART003334843,2026,04,76,,철학,인도 불교식 결혼 의례의 변화 양상과 그 함의 -2000년대 초반 이후 마하라슈뜨라 서부 지역을 중심으로-,Transformations in Buddhist Wedding Rituals in India: Western Maharashtra since the Early 2000s,이지은(세종대학교)
ART003334845,2026,04,76,,철학,자비심의 심소적 해석에 대한 고찰 - 안혜의 『유식삼십송석』을 중심으로 -,A Study on the Yogācāra Interpretation of Compassion(Maitrī-karuṇā ) - Focusing on Sthiramati’s Triṃśikāvijñaptibhāṣya -,정성헌(동국대학교)
ART003334848,2026,04,76,,철학,Yogācāra Curriculum for Five Fields of Science,Yogācāra Curriculum for Five Fields of Science,최성호(서울대학교 아시아연구소 남아시아센터)
ART003293159,2025,12,75,,철학,차크라(Cakra/Chakra)를 둘러싼 리드비터(Leadbeater)와 우드로프(Woodroffe) 간의 논쟁점들에 대한 일고찰(Ⅰ) - The Chakras와 The Serpent Power를 중심으로 -,A Study on the Points of Contention between Leadbeater and Woodroffe Regarding the Chakras (I):   Focusing on The Chakras and The Serpent Power,김재민(능인대학원대학교)
ART003293734,2025,12,75,,철학,후기 인도밀교의 제4관정(第四灌頂) 고찰: 아티샤의 관정론에 드러난 이제쌍입(二諦雙入)과 이타행(利他行)을 중심으로,A Study of the Fourth Initiation (caturthābhiṣeka) in Later Indian Tantric Buddhism: Focusing on Atiśa's Theory of Initiation,박희언(서울대 학부대학 연수연구원)
ART003293741,2025,12,75,,철학,해상 네트워크와 문화교섭의 상징세계 - 『삼국유사』의 허황옥·김수로와 『쿠쉬나메』의 아비틴·프라랑 서사 비교를 중심으로 -,"Maritime Networks and the Symbolic World of Cultural Mediation: A Comparative Study of the Narratives of Heo Hwang-ok and King Suro in the Samguk Yusa, and Abtin and Farāng in the Kush-nāmeh",장재진(동명대학교)
ART003293744,2025,12,75,,철학,자이나교 칠구분별에서 ‘말할 수 없다’의 함의 - 불교의 사구분별과의 비교를 통해 -,'Avaktavya' in Jaina Sevenfold Predication: A Comparison with the Buddhist Catuṣkoṭi,최지연(동국대학교 불교학부)
ART003241322,2025,08,74,,철학,『사운다라난다』의 수행론 고찰 - 제12-15장을 중심으로 -,The Structure of Buddhist Practice in Aśvaghoṣa's Saundarananda: Focus on Chapters 12-15,최지연(동국대 불교학부)
ART003197438,2025,04,73,,철학,자이나교의 까르마론과 자유의지론 __영혼과 물질의 이항 대립과 초월의 구도__,Theory of Karma and Free Will in Jainism: The Soul-Matter Dichotomy and Path to Liberation,양영순(서울대학교 아시아연구소)
ART003112721,2024,08,71,,철학,몸과 마음에 대한 불교적 논의에서 등장하는 요가끄셰마(yogakṣema) 용례 검토,Yogakṣemain the Context of the Buddhist Mind-body Theory,최성호(경남대학교 교양교육연구소)
ART003154874,2024,12,72,,철학,초기불교 부파 전적에 나타난 사띠 개념,The Concept of Sati of Early Buddhist Schools in India,조준호(동국대학교 불교학술원 불교문화연구원)
ART003154914,2024,12,72,,철학,불교 수행에서 믿음의 역할과 중요성 - 초기불교 문헌과 장외문헌을 중심으로 -,Role and Meaning of Faith in Buddhist Meditation: According to the Early Buddhist Texts and Post-canonical Texts,김한상(능인대학원대학교)
ART003154941,2024,12,72,,철학,티벳불교의 바르도(bar do)와 시토(zhi khro) 의례,Bar do and Zhi khro rituals in Tibetan Buddhism,이산(동국대학교 WISE)
ART003154986,2024,12,72,,철학,"중관학파와 나스띠까 - 붓다빨리따, 바비베까, 짠드라끼르띠의 허무주의 논란에 대한 해명 비교연구 -","The Mādhyamikas and the Nāstikas: A comparative review of Buddhapālita’s, Bhāviveka’s, and Candrakīrti’s responses to the charge of nihilism",함형석(전남대학교 철학과)
ART003157240,2024,12,72,,철학,기후 위기 시대의 수행과 ‘나[我]’의 범주 확장 - 정토회의 ‘지속가능한 개발-부탄프로젝트’를 중심으로 -,Practice in the Climate Crisis and the Expansion of the Concept of 'Self': Focusing on the Jungto Society’s 'Sustainable Development Project' in Bhutan,박하정(동국대 인도철학과)
ART003112720,2024,08,71,,철학,인도후기밀교의 장송의례 문헌연구 __순야사마디바즈라(Śūnyasamādhivajra) 저작의 Mṛtasugatiniyojana를 중심으로__,Unveiling the Mṛtasugatiniyojana: A Study and Korean Translation of Śūnyasamādhivajra's Buddhist Tantric Funeral Text,방정란(경상국립대학교 인문학연구소)
ART003112728,2024,08,71,,철학,재생연결(paṭisandhi)의 과정과 양상 __『위숫디막가』 제17장의 ‘상카라를 조건으로 의식이 있음에 관한 논의(Saṅkhārapaccayāviññāṇakathā)’를 중심으로__,The Process and Aspect of the Consciousness of Rebirth(paṭisandhicitta): Focusing on Saṅkhārapaccayāviññāṇakathā in the chapter 17 of Visuddhimmagga,한상희(경북대학교 인문학술원)
ART003112733,2024,08,71,,철학,반야중관학의 변증적 파기와 마조의 심(心)･불(佛)･도(道),"Dialectical Destruction of Prajñā-Madhyamaka Studies(般若中觀學) and Mazu's the Mind(心), the Buddha(佛) and the Truth(道)",김동완(동국대학교 WISE캠퍼스 불교학과)
ART003113333,2024,08,71,,철학,정토불교의 여성에 대한 인식과 구원론에 대한 고찰 __『무량수경(無量壽經)』제35원을 중심으로__,A Study on the Perception and Redemption of Women in Pure Land Buddhism: Centering on the 35th edition of the Sukhāvatīvyuha Sūtra,이현아(동국대학교 일반대학원 인도철학과)
ART003075710,2024,04,70,,철학,마음챙김 명상의 사마타와 위빠사나의 관계 문제 맥락에서의 수관(anupassanā) 고찰,Investigation of the Method of Anupassanā in the Context of the Problem of the Relation between Samatha and Vipassanā as in Mindfulness Meditation,이자연(한국외국어대학교 철학문화연구소)
ART003075738,2024,04,70,,철학,요가 아사나에서 영웅좌(Vīrāsana)의 변형 사례,Transformations of the Hero Pose (Vīrāsana) in Yoga Asanas,최윤제(동국대학교대학원 인도철학과)
ART003075761,2024,04,70,,철학,"빠알리어 접미사 tūna, tvāna, tvā에 관한 연구 __『깟짜야나 문법』, 『목갈라나 문법』, 『삿다니띠』를 중심으로__","A Study on Pāli Suffixes tūna, tvāna, tvā with reference to Kaccāyana-vyākaraṇa, Moggallāna-vyākaraṇa, Saddanīti",김서리(동국대학교 WISE캠퍼스)
ART002870107,2022,08,65,,철학,우빠니샤드에 나타난 기능을 통한 인간 이해와 5기능의 중요성,An Understanding Humans through Faculties and the Importance of Five Faculties in the Upanișads,박효엽(부산대학교)
ART002870415,2022,08,65,,철학,생전예수재 의례집의 다라니(진언) 활용,Procedures of Dhārāṇī(Mantra) in the Ritual Texts of the Advance Funeral Ceremony,성청환(동국대학교) ; 정승석(동국대학교)
ART002914822,2022,12,66,,철학,초기불교와 인지­자연주의 윤리,Early Buddhist and Cognitive-Naturalism for Ethics,우동필(전남대학교)
ART002914852,2022,12,66,,철학,아잔타 후기 불교석굴의 사위성 신변도 연구,The Study on Shravasti’s Pratiharya paintings in Ajanta's the latter part of Buddhist caves,김진숙(중원대학교)
ART002835916,2022,04,64,,철학,Ṣaṭcakranirūpaṇa의 나디(nāḍī) 관념에 대한 일고찰 - 하타 요가(Haṭha Yoga) 문헌들과의 비교를 중심으로 -,A study on the ideas of nāḍī in Ṣaṭcakranirūpaṇa: focused on comparison with the texts of Haṭha Yoga,김재민(금강대학교 불교문화연구소)
ART002835927,2022,04,64,,철학,몸을 바라보는 불교의 세 가지 관점__사념처수행의 부정관을 중심으로__,Three Buddhist Perspectives on the Body: Focusing on Asubhabhāvanā in Satipaṭṭhāna,윤희조(서울불교대학원대학교)
ART002835937,2022,04,64,,철학,유식학파의 실재ㆍ형상ㆍ존재에 관한 논리학적 논증,"The Inductive Examination of the Relationship among Reality (vastu), Appearance (ākāra), and Being (bhāva) in Yogācāra school",박기열(동국대학교 인도철학불교학연구소)
ART002870457,2022,08,65,,철학,인도 불교 승원의 질병과 치료__『마하박가』(Mahāvagga)를 중심으로__,A study of the Diseases and Medical Treatments in Indian Buddhist Monasteries: Based on the Mahāvagga,이은영(경희대학교 인문학연구원) ; 양영순(한국외국어대학교 인도연구소)
ART002993010,2023,08,68,,철학,텍스트 비교연구 방법론 고찰__딴뜨라 문헌의 불이(不二)와 공성(空性)에 대한 평행 구문 분석을 통하여__,An Approach to Comparative Textual Studies of Parallel Passages on Emptiness and Non-dual Doctrine in Tantric Traditions,방정란(경상국립대학교 인문학연구소)
ART002993011,2023,08,68,,철학,자이나교의 다르마명상(dharmadhyāna)__숙고(bhāvanā)에서 핀다스타 명상(piṇḍasthadhyāna)에 이르기까지__,A Study on the Dharma Meditation in Jainism: From bhāvanā to Piṇḍastha Meditation,양영순(서울대학교 아시아연구소)
ART002993012,2023,08,68,,철학,인도 사신(捨身)설화 내러티브에 대한 일고찰__지무타바하나(Jīmūtavāhana) 설화를 중심으로__,A Consideration of a Dehadāna Narrative: Especially on the Jīmūtavāhana story,류현정(서울대학교)
ART002993013,2023,08,68,,철학,쫑카파의 무자성에 대한 논의 __언설의 무자상 중심으로__,A Study of Tsong kha pa’s non self-existence: Focusing on verbal convention(vyavahāra) and non self-characteristic(svalakṣaṇa),박경미(동국대학교)
ART002954685,2023,04,67,,철학,『 무량수경』 제18원의 연구 _제20원과 관련하여_,A Study on the 18th Vow of the Larger Sukhāvatīvyūha Sūtra: In Relation to the 20th Vow,김호성(동국대학교)
