author,artiId,pub_year,journal,categories,title,n_authors,authors,affil
강성용,ART000868508,2003,철학사상,철학,인도 논리전통에 있어서 논쟁의 시간적 전개와 관련된 몇몇 오류들에 대하여,1,강성용,서울대학교
강성용,ART000858637,2003,불교학연구,불교학,바수반두(Vasubandhu)의 논쟁에 대한 이해,1,강성용,서울대학교
강성용,ART001099528,2004,철학,철학,adhikarana연구 Ⅱ ―,1,강성용,서울대학교
강성용,ART001099477,2004,철학,철학,"adhikarana 연구Ⅰ - 고대인도의 논쟁, 논리전통에서의 adhikarana에 대하여",1,강성용,서울대학교
강성용,ART000939682,2004,인도철학,철학,＂Pramaa.na＂와 ＂Pratyak.sa＂에 대하여,1,강성용,서울대학교
강성용,ART001077697,2007,인도철학,철학,초선의 경험과 회상 그리고 서술_붇다 일대기에서 초선에 대한 서술이 갖는 특징과 그 의미들,1,강성용,오스트리아비엔나대학교
강성용,ART002031040,2008,불교학리뷰,불교학,The New Critical Edition of the Nyãyabhãsya and Its Meaning for the Research in Early Buddhist Debate Tradition-The Case of jati and 相應,1,강성용,서울대학교
강성용,ART001398738,2009,인문언어,기타인문학,인도의 구전전통에 대한 이해와 인도 고전 읽기 - 빠니니의 쑤뜨라는 몇 개인가 하는 질문을 중심으로,1,강성용,서울대학교
강성용,ART001476693,2010,인도철학,철학,철학용어의 의미 만들기 : 인도의 니룩따(nirukta)전통과 냐야바샤(Nyāyabhāṣya)에서 설명된 ‘jāti’의 경우,1,강성용,서울대학교
강성용,ART001728487,2012,인문논총,기타인문학,Brill’s Encyclopedia of Hinduism에 대한 서평,1,강성용,서울대학교
강성용,ART001827576,2013,인문논총,기타인문학,인도 무화과에서 한국 풀잠자리알까지- 우담바라의 전설과 인도 우둠바라(udumbara)에 대하여 -,1,강성용,서울대학교
강성용,ART001837439,2013,인문언어,기타인문학,고전텍스트의 DNA를 묻는다: 고전텍스트의 문헌전승 계통도 분석에서 계통발생 분석방법(phylogenetical analysis)의 적용과 모색,1,강성용,서울대학교
강성용,ART001767883,2013,의사학,역사학,인도 안과의학의 동아시아 전래와 『용수보살안론(龍樹菩薩眼論)』,2,김성수;강성용,서울대학교 인문학연구원
강성용,ART001940194,2014,로컬리티 인문학,기타인문학,"<좌담회> 인문학, 인문한국 그리고 '지금 여기'의 당사자성",6,문재원;강성용;이민용;정명중;정진아;차철욱,서울대학교
강성용,ART002051279,2015,철학논집,철학,인도철학에서의 ‘진리’ 개념에 대하여 I - ‘Tattva’의 두 의미 -,1,강성용,서울대학교
강성용,ART002067879,2015,인문학연구,기타인문학,인도철학에서의 ‘진리’ 개념에 대하여 II: ‘satyam eva jayate’와 ‘satya’ 개념,1,강성용,서울대학교
강성용,ART002294838,2017,인문학연구,기타인문학,"쌍쓰끄리땀 문법의 서술, 그 역사적 맥락과 쟁점들",1,강성용,서울대학교
강성용,ART002421647,2018,인도철학,철학,"쌍쓰끄리땀의 아누쓰바라와 콧소리 표기, 그 역사적 맥락과 표기 원칙",1,강성용,서울대학교
강성용,ART002507155,2019,불교학연구,불교학,"최초기 불교전통에 나타나는 자이나전통의 전지자(sarvajña, 一切知者) 주장 비판의 맥락과 함축",1,강성용,서울대학교
강성용,ART002460833,2019,불교학리뷰,불교학,쌍쓰끄리땀 교육을 위한 교재들의 쟁점과 모색,1,강성용,서울대학교
강성용,ART002476347,2019,불교학연구,불교학,‘고귀한 (이의) 네 진리’를 담은 표현의 문법적 문제와 초기불교의 이해에 대하여,1,강성용,서울대학교
강성용,ART002461314,2019,인문과학,기타인문학,"쌍쓰끄리땀 문법의 서술, 구조적 쟁점들에 대하여",1,강성용,서울대학교
강성용,ART002664219,2020,아시아리뷰,사회과학일반,쌍쓰끄리땀과 암벧까르(Ambedkar)의 소환 그리고 고대사 재구성과 인도 현대 정치의 규정요소로서의 언어,1,강성용,서울대학교
강성용,ART002723160,2021,인문논총,기타인문학,‘주사위 노름’으로 오해되는 고대 인도의 내기에 대한 해명 — 베다시기 견과윷(akṣa) 경기와 <<릭베다>>(Ṛgveda)의 “견과윷 노래”(Akṣa-sūkta)를 중심으로,1,강성용,서울대학교
강성용,ART002795230,2021,아시아리뷰,사회과학일반,인도 스마트시티미션을 둘러싼 사회·경제적 맥락의 고찰: 경제와 정치의 악순환 구조를 매개하는 재정 문제를 통해 본 기반시설 조성 전략,1,강성용,서울대학교
강성용,ART002905108,2022,인문논총,기타인문학,인도 근대 ‘힌두교’ 만들기와 인도식 세속주의의 맥락: 왜 인도에서는 반지성주의가 문제되지 않는지를 묻는다,1,강성용,서울대학교
강성용,ART003284817,2025,아시아리뷰,사회과학일반,서문 - 인도 게임 산업과 청년 사회: 산업 성장 동력과 사회적 변동의 교차점,1,강성용,서울대학교 아시아연구소
강성용,ART003285054,2025,아시아리뷰,사회과학일반,인도 청년들은 왜 모바일 게임에 열광하는가?: 인도 청년층의 모바일 게임 경험과 사회적 관계망 형성 양상,2,강성용;남은영,서울대학교 아시아연구소
권서용,ART001041215,2007,보조사상,종교학,다르마끼르띠의 존재와 인식의 본질에 관한 고찰,1,권서용,부산대학교
권서용,ART001077211,2007,인도철학,철학,"다르마끼르띠와 화이트헤드 사상의 접점_현실적 존재(vastu, actual entity)의 찰나멸을 중심으로",1,권서용,부산대학교
권서용,ART001462388,2010,화이트헤드 연구,서양철학일반,"다르마키르티와 화이트헤드 사상의 접점(Ⅰ) - 현실적 존재(vastu, actual entity)를 중심으로 -",1,권서용,부산대학교
권서용,ART001650424,2012,동아시아불교문화,지역불교및불교사연구,불교의 인식론과 서양의 인식론에 관한 비교연구 - 디그나가·다르마끼르띠·로크·칸트를 중심으로,1,권서용,부산대학교
권서용,ART001689936,2012,불교학보,기타불교학,의상과 화이트헤드 - 화엄철학과 유기체철학을 중심으로,1,권서용,부산대학교
권서용,ART001658520,2012,인도철학,철학,대상인식과 자기인식으로서 지각과 추리에 관한 다르마키르티의 논증,1,권서용,부산대학교
권서용,ART001759469,2013,동아시아불교문화,지역불교및불교사연구,『金剛經』 諸註釋에 관한 小考-金剛經 제5분을 중심으로,1,권서용,부산대학교
권서용,ART002039870,2015,동아시아불교문화,지역불교및불교사연구,다르마키르티와 화이트헤드 사상의 접점(3) - 지각의 종류와 구조를 중심으로,1,권서용,부산대학교
권서용,ART002075083,2015,동아시아불교문화,지역불교및불교사연구,다르마키르티의 의지각과 화이트헤드의 현시적 직접성의 양태로서의 지각에 관한 연구,1,권서용,부산대학교
권서용,ART002273576,2017,동아시아불교문화,지역불교및불교사연구,유식(唯識)과 기억[念]에 관하여 - 『유식이십론』과 『양평석』을 중심으로,1,권서용,부산대학교
권서용,ART002220275,2017,인도철학,철학,다르마키르티의 인과 이론__외계실재론과 유식론을 중심으로__,1,권서용,부산대학교
권서용,ART002285297,2017,인도연구,서남아시아,화이트헤드의 파악(prehension)과 다르마키르티의 인식(pramāṇa)에 관한 비교연구,1,권서용,부산대학교
권서용,ART002654396,2017,불교철학,한국불교철학,원효와 법칭의 만남과 대화,1,권서용,부산대학교
권서용,ART002390549,2018,동아시아불교문화,지역불교및불교사연구,원효의 불확정[不定] 원리와 법칭의 선험적 원리에 관한 연구 - 원효의 『판비량론(判比量論)』 11절을 중심으로 -,1,권서용,부산대학교
권서용,ART002376777,2018,한국불교학,종교학,앎[識]의 구조에 관한 논쟁 - 법칭과 원효를 중심으로 -,1,권서용,부산대학교
