person_id,base_name,사단,n_total,n_indo,n_anchors,인도철학_집중도,top_journals
박효엽,박효엽,기타,47,17,17,36.2,인도철학:17; 철학연구:11; 동서철학연구:6; 동아시아불교문화:6
안성두,안성두,기타,31,16,16,51.6,인도철학:16; 불교연구:6; 철학사상:2; 불교학리뷰:2
김서리,김서리,기타,7,7,7,100.0,인도철학:7
이법산,이법산,기타,14,7,7,50.0,인도철학:7; 보조사상:7
박청환,박청환,기타,18,6,6,33.3,인도철학:6; 보조사상:5; 불교학보:3; 동아시아불교문화:2
함형석,함형석,기타,19,6,6,31.6,불교학연구:7; 인도철학:6; 불교학리뷰:2; 남아시아연구:1
최종남,최종남,기타,15,5,5,33.3,서지학연구:7; 인도철학:5; 불교학연구:2; 불교학보:1
정성준,정성준,기타,32,6,5,18.8,인도철학:6; International Journal of Buddhist Thought and Culture:6; 불교학연구:3; 불교연구:3
강성용,강성용,기타,28,4,4,14.3,인도철학:4; 인문논총:4; 아시아리뷰:4; 불교학연구:3
정상교,정상교,기타,12,4,4,33.3,인도철학:4; 불교학리뷰:2; 불교학연구:2; 2018년도 불교학연구회 추계학술대회:1
권서용,권서용,기타,25,4,4,16.0,동아시아불교문화:10; 인도철학:4; 한국불교학:4; 불교철학:2
안양규,안양규,기타,38,4,4,10.5,불교학보:9; 인도철학:4; 한국불교학:4; 종교와 문화:3
권오민,권오민,기타,41,4,4,9.8,한국불교학:9; 불교학보:9; 불교연구:7; 인도철학:4
김성옥,김성옥,기타,27,4,4,14.8,한국불교학:6; 인도철학:4; 보조사상:3; 정토학연구(淨土學硏究):2
박인성,박인성,기타,23,4,4,17.4,불교학보:11; 인도철학:4; 禪學(선학):3; 불교학연구:2
박금표,박금표,기타,17,4,4,23.5,남아시아연구:5; 인도철학:4; 문화와융합:4; 인문논총:2
김한상,김한상,기타,40,3,3,7.5,불교학연구:11; 불교학보:9; 보조사상:6; 동아시아불교문화:4
윤종갑,윤종갑,기타,45,3,3,6.7,동아시아불교문화:17; 철학논총:5; 인도철학:3; 대동철학:3
이은주,이은주,기타,19,3,3,15.8,현상학과 현대철학:5; 인도연구:4; 인도철학:3; 현대유럽철학연구:2
이규완,이규완,기타,11,3,3,27.3,동아시아불교문화:4; 인도철학:3; 보조사상:2; International Journal of Buddhist Thought and Culture:1
윤희조,윤희조,기타,50,3,3,6.0,동서철학연구:18; 철학논총:6; 동아시아불교문화:5; 불교학연구:4
조석효,조석효,기타,4,3,3,75.0,인도철학:3; 철학사상:1
김홍미,김홍미,기타,10,3,3,30.0,인도철학:3; 불교학연구:3; 불교학리뷰:1; 불교학보:1
조준호,조준호,기타,10,3,3,30.0,인도철학:3; 보조사상:2; 한국불교학:2; 대각사상:1
변순미,변순미,기타,6,3,3,50.0,인도철학:3; 요가학연구:1; 불교문예연구:1; 무형문화연구:1
임근동,임근동,기타,33,3,3,9.1,남아시아연구:22; 인도연구:6; 인도철학:3; 외국문학연구:1
정진일,정진일,기타,5,2,2,40.0,인도철학:2; 伽山學報:1; 불교학연구:1; 불교학리뷰:1
김태수,김태수,기타,20,2,2,10.0,동아시아불교문화:3; 인도철학:2; 원불교사상과 종교문화:2; 불교학연구:2
김선희,김선희,기타,13,2,2,15.4,한국교수불자연합학회지:9; 인도철학:2; 한국불교학:1; 도시연구: 역사·사회·문화:1
한상희,한상희,기타,9,2,2,22.2,불교학연구:4; 인도철학:2; 동서인문:1; 요가학연구:1
정성헌,정성헌,기타,3,3,3,100.0,인도철학:3
박창환,박창환,기타,7,2,2,28.6,인도철학:2; 불교학리뷰:1; 불교와 사회(구 불교사상과 문화):1; 한국불교학:1
이현옥,이현옥,기타,6,2,2,33.3,보조사상:3; 인도철학:2; 불교학연구:1
이자연,이자연,기타,2,2,2,100.0,인도철학:2
우동필,우동필,기타,15,2,2,13.3,동아시아불교문화:5; 불교학연구:4; 한국불교학:2; 인도철학:2
엄혜용,엄혜용,기타,2,2,2,100.0,인도철학:2
신성현,신성현,기타,29,3,2,10.3,한국불교학:6; 불교학보:4; 한국교수불자연합학회지:4; 인도철학:3
서종순,서종순,기타,4,2,2,50.0,인도철학:2; 남아시아연구:2
상연진,상연진,기타,5,2,2,40.0,인도철학:2; 아시아연구:1; 불교연구:1; 인도연구:1
박희언,박희언,기타,2,2,2,100.0,인도철학:2
허남결,허남결,기타,30,2,2,6.7,倫理硏究:9; 불교연구:6; 동아시아불교문화:3; 불교학보:2
